"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DPWND","DPWNN","DPWNS","DxC","DxDP","DxOP","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","LSLD","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxDP","NxOP","NxP","OPWND","OPWNN","OPWNS","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxDP","SxOP","SxP","SYSNAM","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"ATOL",1.991925,1,1,1,0,1.036155,0,1,0,0.5085034,14,NA,NA,NA,0,NA,NA,0,1.035274,7.858995,0,0.00255102,NA,1.030266,6,0,3.475036,0,2,NA,NA,0,NA,NA,NA,1.035274,0,1.035274,1,0,0.9953231,NA,NA,0,NA,0.03231293,2.131579,8.80569,1.12046
"BCO",1.208661,0.6666667,0.5959596,0.989899,49.91732,1.873913,0.2519685,0.3,0.04761905,0.7857143,36,0,0,1,0.8199052,1,0.9528302,0.8683652,1.059055,4.875598,0.009478673,0.02843602,0.9714286,1.049383,6,2,2.923913,4.704724,0.9668246,1,1.084906,0.910828,0.1531532,0.009009009,0.6756757,0.9685039,0.8162568,6.401575,0.1837432,0.01010101,0.3696682,0,0.5377358,0.1231423,0.6938776,0.03952569,2.1,6.290123,1.290123
"BOHLMANN",0.1210148,1,0.8214286,1,0.9999814,1.000037,0,0.9998884,0.8760626,0.6423616,5,NA,NA,NA,0.0001116051,NA,0,0,0.9999814,2.715045,0,0,NA,1,0,0,61.09205,0.3575574,0.1239374,NA,0,0.1724138,1,1,1,0.9999256,0.2633865,1.357539,0.7366135,0,1.091684,NA,0,0,NA,0,0,2.715045,1
"CHEBI",0.9999757,0.9189189,0.5945946,1,11.99993,1.42395,6.075777e-06,0.6798121,0,0.3002814,31,NA,NA,NA,0.3201879,NA,0,0.06382979,1.423336,13.31727,0,0,NA,1.418112,0,0,18.11086,0.5457871,1,NA,1,0.5319149,1,0,1,1.445926,0.2771727,1.969123,0.7228273,0,2.099387,NA,0,0,NA,0.2793234,2.598025,238.583,17.91531
"ETS",1.714286,0.8888889,0.8333333,1,110.5714,6,0.1428571,0,0,1,2,0.2325581,0.2015504,1,1,0.7674419,NA,0.6870748,0.8571429,1,0,0,NA,1,0,0,6,26.85714,1,0.7984496,NA,0.7210884,NA,NA,NA,0,0.9690722,27.71429,0.03092784,0,0,0,NA,0,NA,0,0,1,1
"I-ADOPT",1.6,1,1,1,1.2,4,0,0,0,1,2,NA,NA,NA,1,NA,1,0.24,0.8,1,0,0,NA,1,0,0,4,4.4,1,NA,1,0.24,0,0,1,0,0.8461538,5.2,0.1538462,0,0,NA,0,0,NA,0,0,1,1
"KINGDOM",3.636364,1,1,1,0,10,0,0,0,1,2,NA,NA,NA,1,NA,NA,0,0.9090909,1,0,0,NA,1,0,0,10,0,3,NA,NA,0,NA,NA,NA,0,0,0.9090909,1,0,0,NA,NA,0,NA,0,0,1,1
"LIT_I",0,1,1,1,0,3,467.75,1,1,1,2,NA,NA,NA,0,NA,NA,0,0.75,1,0,0,NA,1,0,0,3,0,0,NA,NA,0,NA,NA,NA,0,0,0.75,1,0,0,NA,NA,0,NA,0,0,1,1
"OBOE",0.2465753,0.5555556,1,1,4.010274,1.035587,0.1678082,0.8213058,0.9278351,1,5,0.1428571,1,1,0.1786942,0.8571429,0.9583333,0.825,0.9965753,3.216606,0,0,NA,1,0,0,19.4,3.078767,0.07216495,0,0.9583333,0.575,0.04166667,0.04166667,1,0.9965753,0.7554622,4.075342,0.2445378,0,0,0,0,0,NA,0,0,3.216606,1
"ORIBATIDA",0,1,1,1,0,13062,0,1,1,1,2,NA,NA,NA,0,NA,NA,0,0.9999234,1,0,0,NA,1,0,0,13062,0,0,NA,NA,0,NA,NA,NA,0,0,0.9999234,1,0,0,NA,NA,0,NA,0,0,1,1
"PO",1.477146,0.6875,0.5208333,1,23.98662,1.163241,0.0005574136,0.001809409,0.0006031363,0.06393245,13,NA,NA,NA,1.555489,NA,1.230769,0.5081967,1.072464,7.038944,0,0.001206273,NA,1.073899,2,0,3.685824,0.6164994,0.9993969,NA,2.076923,0.8196721,0.07692308,0,1,0.9944259,0.3650165,1.688963,0.6349835,0,3.242461,NA,0,0,NA,0.07306191,2,8.383648,1.191038
"PTO",1.190048,0.7714286,0.6285714,1,1.998801,1.17575,0.0005995204,0.06058752,0,0.4485924,14,NA,NA,NA,1.221542,NA,0,0.2222222,1.151079,7.122841,0,0.00122399,NA,1.157666,2,0,3.692308,0.04976019,1,NA,1,0.3888889,1,0,1,1.130096,0.04143784,1.200839,0.9585622,0,0.999388,NA,0,0,NA,0.139772,2.085837,9.697735,1.361498
"RECORDBASIS",3.733333,1,1,1,0,14,0,0,0,1,2,NA,NA,NA,1,NA,NA,0,0.9333333,1,0,0.2857143,NA,1,4,0,14,0,3,NA,NA,0,NA,NA,NA,0,0,0.9333333,1,0,0,NA,NA,0,NA,0,0,1,1
"SCHEMAORG",1.983296,0.8333333,0.8333333,1,262.1058,1.046875,0.1915367,0.001114827,0.001114827,1,7,0,0,1,0.9988852,1,0.9993137,0.996357,1.044543,4.267193,0,0,NA,1.05,0,0,5.269663,5.339644,0.9988852,1,0.9993137,0.996357,0.0006863418,0.0006863418,1,1.050111,0.8363858,6.384187,0.1636142,0,0,0,0,0,NA,0.0490524,2.090909,5.256944,1.231944
"SWEET",0.09483348,1,1,1,2.425725,1.128333,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,1.128333,1.955882,NA,NA,NA,1.098975,0,0,9.11839,0,NA,NA,NA,0,NA,NA,NA,0,0,1.128333,1,0,NA,NA,NA,0,NA,0,0,0.0148239,0.007579135
"THYSANOPTERA",0,1,1,1,0,1,0,1,1,1,11,NA,NA,NA,0,NA,NA,0,0.9998805,9.931757,0,0,NA,1,0,0,9.507955,0,0,NA,NA,0,NA,NA,NA,0.999761,0,0.9998805,1,0,0,NA,NA,0,NA,0,0,9.931757,1
"TRICHOPTERA",0,1,1,1,0,821,0,1,1,1,2,NA,NA,NA,0,NA,NA,0,0.9987835,1,0,0,NA,1,0,0,821,0,0,NA,NA,0,NA,NA,NA,0,0,0.9987835,1,0,0,NA,NA,0,NA,0,0,1,1
