"Metric","Cluster_size_k_2","Cluster_size_k_3"
"ANOnto","12, 2","9, 2, 3"
"APWND","5, 9","2, 9, 3"
"APWNN","5, 9","2, 9, 3"
"APWNS","",""
"AROnto","13, 1","6, 7, 1"
"CBOOnto","10, 4","10, 1, 3"
"CROnto","2, 12","2, 8, 4"
"CWND","7, 7","6, 2, 6"
"CWNN","10, 4","1, 10, 3"
"CWNS","13, 1","10, 1, 3"
"DITOnto","9, 5","3, 6, 5"
"DxC","7, 7","1, 6, 7"
"DxP","8, 6","1, 6, 7"
"INROnto","1, 13","9, 1, 4"
"LCOMOnto","7, 7","2, 5, 7"
"LRClassPCT","12, 2",""
"LRsxC","11, 3","11, 1, 2"
"NACOnto","1, 13","4, 9, 1"
"NLR","8, 6","7, 5, 2"
"NLRC","11, 3",""
"NOCOnto","7, 7","1, 6, 7"
"NOMOnto","7, 7","5, 4, 5"
"NxC","10, 4","8, 4, 2"
"NxP","9, 5","5, 5, 4"
"POnto","3, 11","2, 11, 1"
"PROnto","3, 11","3, 9, 2"
"RFCOnto","7, 7","5, 4, 5"
"RROnto","3, 11","3, 9, 2"
"SxAP","",""
"SxC","13, 1","10, 1, 3"
"SxP","13, 1","12, 1, 1"
"TMOnto","12, 2","2, 11, 1"
"TMOnto2","9, 5",""
"WMCOnto","6, 8","6, 4, 4"
"WMCOnto2","1, 13","10, 3, 1"
